Use Case Name,Custom Metadata Field: Ticket Number,Custom Metadata Field: Jira Ticket,TBD - Workflow Stage or Status,Metadata Field or Question,Purpose of Use Case Description,Purpose of Use Case Description
Anthropic Claude,183,https://jira.autodesk.com/browse/GENAIGOV-183,Approved,,"Summarize documents, File Log Analyser -- analyze customer error details, metadata, context from Revit journal files to generate detailed summary of the errors (286) ",
Atlassian AI ,253,https://jira.autodesk.com/browse/GENAIGOV-253,Approved," Search for issues in Jira, Search for "" Text"" in Confluence, Generate SQL queries in analytics, create a JQL to retrieve all the epics for a given quarter","Saas migration of Jira, Confluence, and JSM into Atlanssian SaaS platform ","Your request to use Atlassian AI to improve productivity in using Atlassian SaaS solutions is approved; provided that:

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the generative AI tool, and
b. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or tool to make use of that tool, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out)."""
AWS Bedrock - Claude 2.1,159,https://jira.autodesk.com/browse/GENAIGOV-159,Approved,"RAG type prompts. answer customer query from source, plus prompt engineering ",comparison against autodesk assistant (large 200k token window) with high quality responses. ,We are in the process of negotiating with Anthropic to get a license to Claude 2.1 through AWS Bedrock. Please submit a Supplier Central ticket to get access to this tool once it is made available
AWS Bedrock - Claude 3.5 Sonnet ,262,https://jira.autodesk.com/browse/GENAIGOV-262,Approved,autoprompt engine -- takes your request and combines content of your source code for suggestions ,"coding agent, automate development tasks ","It’s unclear from your responses whether you have reviewed your use case request with your LBP (Amanda Berridge) and/or already used GitHub Copilot for your proposed project/use case. As you may know, GitHub Copilot is approved for use for code generation and you can get more information on using AI for coding from the Developer Productivity Team in PSET. If you would like to proceed with exploring Cline as a coding tool, please get Ben Cochran’s approval in order to proceed with a POC."""
AWS Bedrock - Claude2 API,139,https://jira.autodesk.com/browse/GENAIGOV-139,Approved,"Use the following of article to answer the question at the end. If you don't know the answer, just say that you don't know, don't try to make up an answer. Always say ""thanks for asking!"" at the end of the answer.Article: '{article} ""Question: ""{question}'",comparing hallucinations of claude2 and autodeskGPT for use as a customer support chatbot / customer rep assistant ,"""Please reach out to Supplier Central for a license to AWS Bedrock."
AWS Code Whisperer ,95,https://jira.autodesk.com/browse/GENAIGOV-95,Approved,"read_from_snowflake(connection), join_tables(table1, table2). Prompts will vary as we would like to test a wide real usage scenarios.",improve our dev workflow. This request is to do a pilot where Autodesk/Innovyze code will not be directly used to test it out. It will either be anonymized or completely new code will be written for the purpose of testing it out. We will write it in the language and toolkit that we are familiar with.  ,"Your request to test AWS Code Whisperer as part of an internal POC (to improve development workflow) is approved; provided that no confidential, proprietary or personal information of Autodesk or our customers/partners is shared with AWS Code Whisperer. Please submit a ticket with Supplier Central to kick-start the POC process and involve your LBP during the POC so that they can assist with any guardrails required with code generation in order to comply with Autodesk policies and applicable laws. Note that a POC is already underway for Github Copilot, which is run by Ben Cochran’s team. We encourage you to connect with them to share learnings. "
Bing Image Creator ,93,https://jira.autodesk.com/browse/GENAIGOV-93,Approved,generate images or assist in getting ideas for images. I'm going to input general topics about Maya. ,Maya users who are interested in news or article about Maya. ,"Your request to use Bing Image Creator to help generate images or to help get ideas for images for use in a technical article on Maya for publication on an Autodesk website is approved, provided that (a) you review your use case and the Bing Image Generator Terms of Service with Amanda Berridge, your Legal Business Partner, (b) you get approval from Brand Strategy on use of final output in your article, (c) no confidential, proprietary or personal information of Autodesk or our customers/partners is shared with Bing Image Creator, and (d) to the extent that Brand agrees, all output is marked as being ‘Generated by AI’."
Brainshark - AuthoringAI ,184,https://jira.autodesk.com/browse/GENAIGOV-184,Approved,autodesk content ,"creating captions for videos 
","We recommend starting with an evaluation or POC of/for the solution. In order to do so, please work with your Legal Business Partner, Vicki Getty, to flesh out the evaluation or POC idea. You must submit a Supplier Central ticket prior to using AuthoringAI for the evaluation/POC. (Note that use of a solution for evaluation/POC and thereafter for commercial/production use are separate transactions governed by different legal terms and require creation of separate Supplier Central tickets.)”"
Brevian,182,https://jira.autodesk.com/browse/GENAIGOV-182,Approved,n/a: research and exploration for now ,"Build custom agents for integrating data & applications, answer queries, automate repeated tasks ","Please work with your Legal Business Partner, Susie Berg, to flesh out your POC idea and get the green light from the COO Center of Excellence [Krishnan Krishnayer]. Prior to use of Revian, you must submit a Supplier Central ticket."
Brightflag's Third Party Vendor - AI21 ,189,https://jira.autodesk.com/browse/GENAIGOV-189 ,Approved,,"summarize legal invoices, such as legal matter names and descriptions.","Your request to use the GenAI-enabled invoice summarization feature of an existing vendor’s solution (Brightflag) is approved; provided:
a.      You submit a Supplier Central ticket to obtain the appropriate license to use the feature; and
b.      Autodesk confidential and proprietary data is not compromised and is not used to train any third party ML models (AI21 Summarise)."
ChatGPT / AutodeskGPT ,82,https://jira.autodesk.com/browse/GENAIGOV-82 ,Approved,,"Use cases: Summarize content, language translation, code writing / debugging, sentiment analysis, data visualization, clustering (categorizing by shared characteristics), migrate API from one service to another (174), automate repetitive tasks, building a Slack bot (190), knowledge database for license compliance (193), employees may use to prepare for self-assessments but cannot be used for employee review or feedback (233), machine translation quality estimation (MTQE) automatic post editing (APE) and translation memory cleanup (284), ",
ChatLLM,144,https://jira.autodesk.com/browse/GENAIGOV-144,Approved,persona based prompts: Generate an Outreach email to introduce Data visualization services in our products’ ‘Generate copy for a retail focused webpage.’ ‘Generate a short write up introducing sustainability in construction,create content clusters - industry specific content ,"Your request to use Abacus Agent AI and ChatLLM – Custom LLM Chat is approved. Please work with Supplier Central to obtain the appropriate licenses. To the extent that you use a SaaS solution/tool, please ensure that (a) you do not share any confidential, proprietary or personal information of Autodesk (business or employee) or our customers/partners with the tool, OR (b) any such information is not used by the vendor for product improvement purposes or training the tool’s algorithms."
ChatPRD,187,https://jira.autodesk.com/browse/GENAIGOV-187,Approved,Help me write a PRD for my initiative with the objective of X.Help me improve my PRD.  ,improve product requirements documents (for product development process) ,"Your request to undertake a pilot using ChatPRD to improve PRDs is approved; provided, that:
 
a.      You submit a Supplier Central ticket to obtain the appropriate license to use the product (this will cover legal and security review); and
b.      Autodesk confidential and proprietary data is not used to train any third party ML models"
Cline ,256,https://jira.autodesk.com/browse/GENAIGOV-256,Approved,,agent for code generation and assistance ," It’s unclear from your responses whether you have already used GitHub Copilot for your proposed project/use case. As you may know, GitHub Copilot is approved for use for code generation and you can get more information on using AI for coding from the Developer Productivity Team in PSET. In addition to the foregoing, you must receive Ben Cochran’s approval prior to proceeding with use of this generative AI code assistant for your use case."""
CometML,148,https://jira.autodesk.com/browse/GENAIGOV-148,Approved, Model Experimentation with CometMLPlatform capabilities of CometML Model training on metaflow with CometML,gaia model experimentation ,Please submit a Supplier Central ticket for use of CometML
Dataminr,197,https://jira.autodesk.com/browse/GENAIGOV-197,Approved," tracking threats to our employees, offices and events. ",assist global security team with threat detection ,"Your request to use Dataminr to assist in real-time risk management by identifying threats to employees, offices and events is approved; provided that:
a. You submit a Supplier Central ticket to obtain the appropriate license to use the tool; and
b.  No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is used to train any third party ML models, and
c. You obtain VP approval in advance of any use of customer content or employee personal data with Dataminr."
DeepL,214,https://jira.autodesk.com/browse/GENAIGOV-214,Approved,"texts and documents from german, french, japanese into american english ","language translation for local press coverage, machine translation comparison against own translation models ","Your request to use DeepL to translate local press coverage is approved; provided that:

You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models."
Dovetail ,246,https://jira.autodesk.com/browse/GENAIGOV-246,Approved,,customer insights based on surveys with customers ," Your request to use Dovetail to assist in researching (synthesizing and analyzing) customer survey and interview inputs for an internal audience is approved; provided that:

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
b. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or tool in order to make use of that tool, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out)."
Durable.co,61,https://jira.autodesk.com/browse/GENAIGOV-61,Approved,,"graphics research purposes
","Your request to internally test and evaluate look.com and durable.co is approved provided that (a) no confidential, proprietary or personal info of Autodesk or customer is shared with these applications, (b) any output is approved by the Brand team prior to publication externally, and (c) you work with your LBP to determine whether you should submit a request to Supplier Central."""
Dynatrace Observability AI,150,https://jira.autodesk.com/browse/GENAIGOV-150,Approved,n/a,"dynatrace is already in use -- however they are submitting this request as part of the security review, since dynatrace has AI. they do not know whether or not they will use their AI feature yet","Thank you for your review request. If you have not done so, please submit a Supplier Central ticket. If you have been directed here by Supplier Central, please proceed with Security and LBP reviews"
ElevenLabs,107,https://jira.autodesk.com/browse/GENAIGOV-107,Approved,making training videos for Autodesk employees ,"audio voiceovers of scripts instead of recording them -- which are usually the longest parts of making training videos, supposedly cheaper than WellSaid ","Your request to use Elven labs is approved provided that you do not input or share any scripts with Elven that include confidential or personal information of Autodesk, it's employees or customers/partners, and you submit a supplier central ticket to get a license to purchase this tool. Note that you must get written consent from any employee whose voice recording you intend to share with Elven for purposes of work. Please reach out to your legal business partner to assist you with this."
Evisort ,212,https://jira.autodesk.com/browse/GENAIGOV-212,Approved,,contract data analysis; query content from contracts like provisions and clauses ,You may proceed with a POC for this tool after following the process for onboarding through Supplier Central.
Figma FigJam AI ,169,https://jira.autodesk.com/browse/GENAIGOV-169,Approved,"Brainstorm ways to kick off your team meetingSummarize sticky notes on your board to help wrap up a meetingCreate visual mindmaps with AIReframe text for a specific audience, tone, or formatLearn something new by asking the widget a question or to expand on a topicGenerate code from a description or prompt","Brainstorming, summarizing content, creating visual mindmaps, persona based text: reframe text in specific tone / format, audience, generate code, education (learn from AI) ","Your request to use a ChatGPT-enabled feature of an existing vendor’s solution (FigJam) is approved; provided, that:

Autodesk confidential and proprietary data is not used to train any third party ML models; and
Prompts, data and outputs are handled in a secure manner, and the Security team has given its approval; and
You submit a Supplier Central ticket to obtain the appropriate license to use the tool."""
Flow Multimedia ,265,https://jira.autodesk.com/browse/GENAIGOV-265,Approved,translation audio files ? ,"audio transcription, enhance translation (correct grammar, adjust tone, modify length), subtitling and synchronization ","Your request to use Flow.Multimedia solution for video localization, which in relevant part relies on the GenAI model, Llama 3.2, hosted on the vendor’s server to enhance translations, is approved; provided that,

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the generative AI tool, and

b. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or tool to make use of that tool, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out)."""
Fluent.io,163,https://jira.autodesk.com/browse/GENAIGOV-163,Approved,"not sure yet, basic security review as of now ","gather, consolidate and summarize notes, data, analysis, etc. from a variety of sales tools used at ADSK (SFDC, Consensus, PandaDoc, Qwip, Gong, etc.) into a centralized location at the Account level","The described use case to test out Fluent.io is approved; provided, you submit a Supplier Central ticket in relation to this Generative AI tool. Whenever possible, AutodeskGPT should be used instead of the publicly available instance of ChatGPT. If you have been directed here by SC, please proceed with Privacy, Security and Legal review, each as applicable in relation to this tool"
Fosfor AI,158,https://jira.autodesk.com/browse/GENAIGOV-158,Approved,How is my sales pipeline health for this quarter?How much revenue we're forecasting for Q4 this year?,customer self service - data insights ," The described POC use case is approved; provided, that you receive approval from the COO AI Hub. If so, please submit a Supplier Central ticket in relation to this Generative AI tool"
Franklin Covey Impact Platform - AI Coach,261,https://jira.autodesk.com/browse/GENAIGOV-261,Approved," Solve a Problem at Work, Improve in 5 Minutes, and Discover Resources. I've included information that Franklin Covey has provided about each of these prompts below",educational ai tool: enhance learning experience for Autodesk employees who register for classes in Franklin Covey ,"Your request to use the AI Coach feature of the vendor’s Impact platform to deliver instructor-led training is approved; provided that,

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the feature.

b. To the extent confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or feature to make use of that feature, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out)."""
Getty AI Image Generator ,"146, 168","https://jira.autodesk.com/browse/GENAIGOV-146, 168",Approved,'red brick wall''night sky''duvet with suns and moons',"api in maya to allow artists to generate textures in their Maya scene, 2. building plugin for Maya and Max to generate 3D content from text prompt","Your request to use Getty AI Image Generator to build a prototype is approved; provided, that You work with Supplier Central to obtain the appropriate licenses. Note that using customer content with genAI tools requires LBP and VP approval"
Gong Call Spotlight,133,https://jira.autodesk.com/browse/GENAIGOV-133,Approved,Summarize this call: What are my todo itemsWhat are my action itemsGenerate a summary email Is the customer trying to solve a specific problem?What are the customer’s expectations?What questions did the customer ask?Did the customer mention budget?Was pricing discussed? ,"assistant for Autodesk sales and commercial customer success reps: generate summaries and highlights from conversations, generate summary emails, analyze conversations",Please work with your Legal Business Partner to review your use case with Gong. Processing customer content with generative AI tools requires VP approval as well.
Google Gemma 7B ,225,https://jira.autodesk.com/browse/GENAIGOV-225,Approved,,external use in Revit; RAG for user query ,"Your request to integrate Google Gemma 7B into the OTTO AI system to improve relevancy and human interaction in responses is approved; provided that:
 __ 
a.    You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the model, and
b.    No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models. Any exceptions to the foregoing require prior written approval by your VP."
Google Notebook LM ,"240, 248 ","https://jira.autodesk.com/browse/GENAIGOV-240, 248 ",Approved,notes on experience working in the Detection and Resiliency working group ,"generate conversation summaries, structure notes into podcast, autogenerate a podcast ","Your request to use NotebookLM to assist in creating a series of podcasts on an internal subject matter for an internal audience is approved; provided that:

a. You obtain legal approval for your use case from your LBP (James Wang is the LBP for the Construction Solutions team within AEC), and
b. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
c . No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models. Any exceptions to the foregoing require prior written approval by your VP."""
Hugging Face ,186,https://jira.autodesk.com/browse/GENAIGOV-186,Approved,for prompt engineering: ,Hosts GenAI models -- customize their ai models for specific uses in water industry and host independently. prompt engineering: use models directly from hugging face ,"Your request to download from Hugging Face an open-source GenAI LLM to adapt for specific uses within the water industry is approved; provided that: you work with your Legal Business Partner to review this use case and the legal terms governing use of this Generative AI tool, (b) submit a Supplier Central ticket in relation to this tool, and (c) obtain VP approval in advance of any use of customer content and employee personal data with Hugging Face. Self-hosting provides added privacy and security benefits. We recommend that you speak with the AI Platform Team (Rex Lam) to understand possible AI inference solutions that the platform team is building, in case they are  helpful for your purpose."
Hut 3 ,251,https://jira.autodesk.com/browse/GENAIGOV-251,Approved,,"customize content for industry, identify specific pain points ","Your request to engage Hut3 which will employ certain generative AI technology (engine and tools) to perform services for Autodesk is approved; provided that:

a. You submit a Supplier Central ticket to put in place a services engagement agreement that includes, without limitation, appropriate licenses/entitlements before such services are performed, and
b. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or engine/tool to make use of that engine/tool, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out)."
Hyperbound ,202,https://jira.autodesk.com/browse/GENAIGOV-202,Approved,types of sales objection scenarios ,training tool for sales reps; roleplay conversations to prepare for sales calls ,"Thank you for your request. Your request to use Hyperbound for sales call training via roleplay conversations is approved; provided that:
a.        You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
b.        No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models."""
Intento,267,https://jira.autodesk.com/browse/GENAIGOV-267,Approved,,"evaluate language quality. give risk assessment along with severity, error type, description when issues are identified. ","Your request to evaluate Intento’s translation solution (utilizing Autodesk-approved MT engine and models), is approved; provided that,

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the generative AI tool, and

b. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or tool to make use of that tool, prior written approval by your VP is required. In no event should such data be used to train any third party ML models (e.g., always use an opt-out)."""
Inworld,198,https://jira.autodesk.com/browse/GENAIGOV-198 ,Approved,The intended prompts are things like:Inworld characters appear to be able to see and hear their virtual environment.Therefore prompts likely include anything players or other characters say while playing the game.Researchers should not be discussing anything personal or confidential while playing the game.The researchers might be using VR in which case the Inworld characters could see some sort of visual representation of the researcher's avatarWe will send prompts to initialise and change the personality and behaviour of the agentsWe might send some sort of text based overview of the environmentWe might send some sort of text based reminders of past actions or interactions between characters,research -- for internal use; gives virtual game characters perception of their virtual environments; self awareness (From Intent to Experience research_ ,"Your request to evaluate Inworld relating to a research project by creating virtual game characters to interact with each other and to certain human players is approved; provided that:
 
a.  You submit a Supplier Central ticket to obtain the appropriate license to evaluate the tool, and
b.   No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models, and;
c.   You obtain VP approval in advance of any use of customer content or employee personal data with Inworld."
Ivo,209,https://jira.autodesk.com/browse/GENAIGOV-209,Approved,,contract review software ,You may proceed with a POC for this tool after following the process for onboarding through Supplier Central.
LearnExperts - LEAi ,188,https://jira.autodesk.com/browse/GENAIGOV-188,Approved,"upload webinar or audio file, or word document script about how to use ACC products, and ask it to form it into an online course ","scale content creation for Digital Learning Experience, help create eLearning courses on LearnACC (Autodesk Construction Cloud Learning Center) ","Your request to use the LEAi tool to evaluate its ability to help create online courses derived from publicly available Autodesk content (e.g., webinars, help articles, blog posts, audio files, word document script) is approved; provided that:
a.      You submit a Supplier Central ticket to obtain the appropriate license to use the tool; and
b.      No confidential, proprietary or personal information of Autodesk (business or employee) or our customers/partners is inputted into the tool, whether through prompts or otherwise, and
c.       To the extent you wish to include any AI output in any external-facing communications/materials, you must first fact-check and rephrase the content when possible in order to avoid accusations of plagiarism and to ensure adequate quality."
Llama 2,160,https://jira.autodesk.com/browse/GENAIGOV-160,Approved,RAG type prompts for customer query,"RAG for customer inquiries (questions about company: sales, marketing cso, etc) 
","internal research only. non-internal has certain restrictions that require additional review by LBP 
"
Looka.com,61,https://jira.autodesk.com/browse/GENAIGOV-61,Approved,,"graphics research purposes
","Your request to internally test and evaluate look.com and durable.co is approved provided that (a) no confidential, proprietary or personal info of Autodesk or customer is shared with these applications, (b) any output is approved by the Brand team prior to publication externally, and (c) you work with your LBP to determine whether you should submit a request to Supplier Central."" "
Microsoft Cognitive Services,111,https://jira.autodesk.com/browse/GENAIGOV-111,Approved,approved video content in english ,translate our content (already public facing) to other languages.,Prakash Kota and his team is in the process of obtaining an enterprise license for MS Cognitive Services. Please reach out to Partha Srinivasan expressing your interest in this tool
Midjourney ,165,https://jira.autodesk.com/browse/GENAIGOV-165 ,Approved,,Use cases: image generator ,
Mintlify ,252,https://jira.autodesk.com/browse/GENAIGOV-252 ,Approved, Give me a list of all the themes2. How do I get started with contributions to this repository?,"generate developer documentation, API references, knowledge base, ask specific questions on the codebase ","You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
b. To the extent that confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners must be shared with the vendor or tool to make use of that tool, prior written approval by your VP is required. In no event will such data be used to train any third party ML models (e.g., always use an opt-out).

Please note that you will need to submit a separate Generative AI Utilization Request for each tool (i.e., please submit a separate request for Swimm)."""
Mottle,88,https://jira.autodesk.com/browse/GENAIGOV-88,Approved,"BIM Collaborate Pro, Premium & Docs information that is externally facing and available to all Autodesk customers. This format includes webpages, presentations and PDFs/word docs.","provide summarized, externally-facing product data for BIM Collaborate Pro, Premium & Docs to our CCS CSA Americas agents to decrease time wasted searching for information to answer complex customer questions. use this during 
customer calls to save time searching for answers and improve customer calls. ","Your request to use Mottle (ChatGPT-powered bot) in a pilot program to help customer service agents more quickly respond to customer questions by speeding up research of publicly available product-related information, is approved, provided that (a) you work with your LBP to define the parameters of the pilot and guardrails for participants, (b) any output of ChatGPT is fact-checked and rephrased in your own words before conveyed such information with customers in order to avoid plagiarism and inaccuracy, (b) no confidential, proprietary or personal information of Autodesk or our customers is shared with OpenAI, and (c) all output from Mottle used/stored internally (like in a wiki) in original form is marked or identified as being ‘Generated by AI’. Please be aware and cognizant of the fact that OpenAI gets stuff wrong all the time "
Mutable AI ,243,https://jira.autodesk.com/browse/GENAIGOV-243,Approved,How do I get started with contributions to this repository?Produce a flow diagram for  <sample> functionality?,assisted documentation tool for developers (similar to Swimm) ,"Thank you for your request. Your request to evaluate Mutable AI’s performance in generating documentation, producing flow diagrams and help answer developer queries, to compare with Swimm, is approved; provided that:

a. You submit a Supplier Central ticket to obtain the appropriate license/entitlement before using the tool, and
b. No confidential, proprietary or personal information/data of Autodesk (business or employee) or our customers or partners is exposed to the vendor or used to train any third party ML models. Any exceptions to the foregoing require prior written approval by your VP.

Note that a separate Supplier Central ticket will be required to obtain a commercial license to use Mutable AI."""
Notion AI ,142,https://jira.autodesk.com/browse/GENAIGOV-142,Approved,"email templates, product explanations, and client inquiries",improve data organization and access -- ai for streamlining information categorization and analysis. personalized content (customized customer emails) ,You may explore a license to Notion provided you work with Supplier Central and your Legal Business Partner
